target,source,time
36029004300i4207,36029015201i1205,2
36029005000i1528,36029005000i1533,2
36029006701i151,36029005000i1528,3
36029015201i1177,36029015201i1205,3
36029015201i2781,36029015201i1205,3
36029007303i5018,36029004300i4207,4
36029008002i3388,36029007303i5018,4
36029009401i4304,36029008002i3388,5
36029009402i3026,36029009401i4304,5
36029015201i1992,36029015201i1177,5
36029005000i1560,36029005000i1528,6
36029009113i5366,36029007303i5018,7
36029009402i2260,36029009113i5366,7
36029015201i1989,36029015201i1992,7
36029009402i2498,36029009402i2260,8
36029015302i2238,36029015302i2308,8
36029015302i2308,36029015201i1992,8
36029008002i3584,36029008002i3388,9
36029009402i4201,36029009402i2498,9
36029010202i1184,36029009402i2498,9
36029015302i565,36029015302i2308,9
36029015302i2253,36029015302i2238,10
36029002502i320,36029009401i5522,11
36029005000i2366,36029005000i1560,11
36029009401i4300,36029009401i4304,11
36029009401i5522,36029009401i4304,11
36029015003i2064,36029015201i1177,11
36029015201i1987,36029015201i1177,11
36029009402i2041,36029009401i4300,12
36029010102i683,36029009402i2041,12
36029010805i861,36029009113i5366,12
36029015302i713,36029015302i2308,12
36029010808i3114,36029010102i683,13
36029011000i1635,36029009402i2260,13
36029015302i711,36029015302i1079,13
36029015302i1079,36029015302i713,13
36029004402i935,36029005000i1528,14
36029005202i432,36029002502i320,14
36029015302i564,36029015302i713,14
36029017300i5854,36029002502i320,14
36029004300i1482,36029004300i4622,15
36029004300i4622,36029004402i935,15
36029006100i3058,36029006100i3063,15
36029006100i3063,36029009401i4300,15
36029008300i900,36029006701i151,15
36029009302i2272,36029005202i432,15
36029010001i288,36029010805i861,15
36029015302i1069,36029015302i1079,15
36029015302i2326,36029015302i2308,15
36029000800i1424,36029015302i564,16
36029004300i5788,36029004300i4622,16
36029009302i964,36029009302i2272,16
36029011000i1377,36029011000i1635,16
36029015202i2417,36029015302i1069,16
36029016800i857,36029015302i564,16
36029017300i5853,36029017300i5854,16
36029006100i3057,36029006100i3063,17
36029008300i2330,36029008300i900,17
36029009114i176,36029017300i5853,17
36029015202i1818,36029015202i2417,17
36029004900i1166,36029005000i1560,18
36029005400i1246,36029008300i2330,18
36029009107i665,36029010202i1184,18
36029009501i3489,36029009402i2041,18
36029009800i1109,36029009302i2272,18
36029011000i1373,36029011000i1377,18
36029014501i951,36029000800i1424,18
36029015202i3438,36029015003i2064,18
36029015302i731,36029015302i1069,18
36029015302i1067,36029015302i1069,18
36029004401i779,36029009114i176,19
36029004401i3703,36029004401i779,19
36029005700i1812,36029005400i1246,19
36029008300i843,36029008300i2330,19
36029013502i392,36029015302i713,19
36029015202i1647,36029015202i2417,19
36029015202i2965,36029015202i3438,19
36029015202i3283,36029015202i3438,19
36029015202i3326,36029009800i1109,19
36029015302i2295,36029015302i2253,19
36029015302i2687,36029015302i731,19
36029000800i2404,36029000800i2424,20
36029000800i2424,36029000800i1424,20
36029006100i3054,36029006100i3063,20
36029007600i1519,36029005400i1246,20
36029007700i2613,36029007700i3046,20
36029007700i3046,36029004401i779,20
36029008201i2509,36029004401i779,20
36029008300i841,36029008300i843,20
36029008300i854,36029008300i843,20
36029008300i2148,36029008300i841,20
36029009302i1961,36029009302i964,20
36029009600i3200,36029015800i2200,20
36029010808i3116,36029010808i3114,20
36029011200i2020,36029015202i1647,20
36029013400i879,36029015302i2687,20
36029015202i1273,36029015202i2965,20
36029015202i1934,36029015302i2326,20
36029015301i2089,36029015401i364,20
36029015401i364,36029015302i731,20
36029015401i2621,36029015401i364,20
36029015800i2200,36029015302i2687,20
36029004001i515,36029004001i910,21
36029004001i910,36029004402i935,21
36029004401i3680,36029004401i3703,21
36029005700i1803,36029005700i1812,21
36029007800i854,36029009107i665,21
36029007901i2200,36029009107i665,21
36029008300i897,36029008300i841,21
36029010901i747,36029010805i861,21
36029010901i1066,36029010901i747,21
36029012003i2463,36029005700i1812,21
36029015003i2060,36029015003i2064,21
36029015202i1939,36029015202i1934,21
36029015202i2430,36029015202i1647,21
36029015301i1918,36029015301i2089,21
36029015302i1073,36029015302i731,21
36029015700i3476,36029017300i5854,21
36029000800i4373,36029000800i2424,22
36029003100i1410,36029006100i3058,22
36029004700i5361,36029006100i3058,22
36029007102i811,36029006100i3057,22
36029007700i3492,36029007700i3565,22
36029007700i3565,36029007700i2613,22
36029007902i1830,36029015003i2060,22
36029008201i388,36029008201i2509,22
36029009600i2410,36029009600i3200,22
36029009800i1108,36029009800i1109,22
36029010500i440,36029008300i2148,22
36029014501i689,36029014501i951,22
36029014701i2899,36029015202i1647,22
36029015102i1129,36029015301i2089,22
36029015202i40,36029015202i3283,22
36029015202i1177,36029015202i1273,22
36029015301i317,36029009401i5522,22
36029015700i2789,36029015700i3476,22
36029017300i6038,36029017300i5854,22
36029000800i1904,36029000800i2423,23
36029000800i2423,36029000800i2424,23
36029001402i3054,36029007700i3492,23
36029003100i1407,36029003100i1410,23
36029003800i1560,36029004001i910,23
36029004001i3138,36029004001i910,23
36029004001i3572,36029004001i910,23
36029004900i3540,36029004900i1166,23
36029006302i1713,36029010901i664,23
36029007303i2293,36029007700i3077,23
36029007700i2890,36029007700i3565,23
36029007700i2934,36029007700i3046,23
36029007700i3077,36029007700i3046,23
36029007700i3172,36029007700i2934,23
36029008300i842,36029008300i897,23
36029008300i942,36029008300i842,23
36029008300i1158,36029008300i854,23
36029008300i2513,36029008300i854,23
36029008800i2535,36029008300i2148,23
36029009501i2659,36029006100i3058,23
36029010003i2171,36029015003i2060,23
36029010300i1132,36029008800i2535,23
36029010600i1196,36029010300i1132,23
36029010804i288,36029013702i4150,23
36029010808i3106,36029010808i3114,23
36029010901i664,36029010901i747,23
36029010901i2111,36029010901i747,23
36029011000i339,36029010500i440,23
36029011600i1604,36029015202i3326,23
36029012003i1932,36029012003i2463,23
36029013102i3111,36029008201i388,23
36029013702i4150,36029007700i3077,23
36029014501i1102,36029014501i689,23
36029015201i696,36029015202i40,23
36029015201i759,36029015201i696,23
36029015201i1975,36029015201i1987,23
36029015202i1274,36029015202i1939,23
36029015202i1938,36029015202i1940,23
36029015202i1940,36029015202i1939,23
36029015202i2918,36029015202i2965,23
36029000700i348,36029003100i1407,24
36029002300i3107,36029003800i1560,24
36029004401i1514,36029004401i3680,24
36029005201i964,36029007902i1830,24
36029007700i3067,36029007700i2934,24
36029007700i3069,36029007700i3067,24
36029007700i3140,36029007700i3172,24
36029007902i3548,36029007902i1830,24
36029007902i5022,36029015201i696,24
36029008002i5064,36029010808i3116,24
36029008003i757,36029007102i811,24
36029008003i4050,36029013501i415,24
36029008300i1170,36029008300i1158,24
